tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
clothing,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,13.37,24.18,24.18,usd,2025-01-01 14:55:21
cloud,gTLD,,,,,no,ARUBA PEC S.p.A.,spaceship,Spaceship,https://www.spaceship.com/,3.29,14.98,14.98,usd,2024-10-24 10:36:51
club,gTLD,,,,,no,"Registry Services, LLC",alibaba,Alibaba Cloud,https://alibabacloud.com/,2,9.99,2,usd,2025-01-01 14:53:34
cm,ccTLD,,,,,no,Cameroon Telecommunications (CAMTEL),quyu,趣域网,https://www.quyu.net/,99,99.0,99,cny,2025-01-01 14:47:38
cn,ccTLD,,,,,no,China Internet Network Information Center (CNNIC),ename,易名,https://www.ename.com/,35,35.0,35,cny,2025-01-01 14:47:01
co,ccTLD,,,,,no,Ministry of Information and Communications Technologies (MinTIC),spaceship,Spaceship,https://www.spaceship.com/,9.32,23.98,23.98,usd,2024-10-24 10:36:51
coach,gTLD,,,,,no,"Binky Moon, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,39.95,39.95,39.95,usd,2025-01-01 14:48:20
codes,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,6.67,43.75,43.75,usd,2025-01-01 14:55:21
coffee,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.49,26.24,26.24,usd,2025-01-01 14:55:21
college,gTLD,,,,,no,XYZ.COM LLC,cloudflare,Cloudflare,https://www.cloudflare.com/,45.18,45.18,45.18,usd,2024-11-30 21:56:07
cologne,gTLD,,,,,no,dotKoeln GmbH,ovh,OVHcloud,https://www.ovhcloud.com/,14.49,15.69,15.69,eur,2024-09-01 14:41:55
com,gTLD,,,,,no,VeriSign Global Registry Services,spaceship,Spaceship,https://www.spaceship.com/,8.48,9.98,9.48,usd,2024-10-24 10:36:51
community,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,15.94,26.24,26.24,usd,2025-01-01 14:55:21
company,gTLD,,,,,no,"Binky Moon, LLC",363hk,西部数码国际,https://www.363.hk/,48,48.0,48,cny,2025-01-01 14:46:57
compare,gTLD,,,,,no,"Registry Services, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,22.18,22.18,22.18,usd,2024-11-30 21:56:07
computer,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,15.94,26.24,26.24,usd,2025-01-01 14:55:21
condos,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,39.63,39.63,39.63,usd,2025-01-01 14:55:21
construction,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.73,26.24,26.24,usd,2025-01-01 14:55:21
consulting,gTLD,,,,,no,"Dog Beach, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,29.99,29.99,29.99,usd,2025-01-01 14:48:20
contact,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,9.76,9.76,9.76,usd,2025-01-01 14:55:21
contractors,gTLD,,,,,no,"Binky Moon, LLC",spaceship,Spaceship,https://www.spaceship.com/,22.98,22.98,22.98,usd,2024-10-24 10:36:51
cooking,gTLD,,,,,no,"Registry Services, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,22.18,22.18,22.18,usd,2024-11-30 21:56:07
cool,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,65.0,65,cny,2024-11-01 19:20:20
coop,sTLD,,,,,no,DotCooperation LLC,mrdomain,MrDomain,https://www.mrdomain.com/,69.95,69.95,69.95,eur,2025-01-01 14:56:21
corsica,gTLD,,,,,no,Collectivité de Corse,sav,Sav,https://www.sav.com/,17.66,17.66,n/a,usd,2025-01-01 14:47:32
country,gTLD,,,,,no,Top Level Domain Holdings Limited,ovh,OVHcloud,https://www.ovhcloud.com/,23.99,25.99,23.99,eur,2024-09-01 14:41:55
coupons,gTLD,,,,,no,"Binky Moon, LLC",spaceship,Spaceship,https://www.spaceship.com/,4.14,37.98,37.98,usd,2024-10-24 10:36:51
courses,gTLD,,,,,no,"Registry Services, LLC",spaceship,Spaceship,https://www.spaceship.com/,25.88,25.88,25.88,usd,2024-10-24 10:36:51
cpa,gTLD,,,,,no,American Institute of Certified Public Accountants,encirca,EnCirca,https://www.encirca.com/,225,225.0,n/a,usd,2025-01-01 15:03:34
cr,ccTLD,,,,,no,"National Academy of Sciences
Academia Nacional de Ciencias",mrdomain,MrDomain,https://www.mrdomain.com/,79.95,86.95,79.95,eur,2025-01-01 14:56:21
credit,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,75.18,75.18,75.18,usd,2024-11-30 21:56:07
creditcard,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,125.18,125.18,125.18,usd,2024-11-30 21:56:07
creditunion,gTLD,,,,,no,"DotCooperation, LLC",regery,Regery,https://regery.com/,149.99,149.99,149.99,usd,2024-09-11 10:54:05
cricket,gTLD,,,,,no,dot Cricket Limited,wordpress,WordPress.com,https://wordpress.com/,12,12.0,12,usd,2025-01-01 15:01:15
crs,gTLD,,,,,no,Federated Co-operatives Limited,enom,Enom,https://www.enom.com/,17,17.0,17,usd,2025-01-01 14:59:59
cruises,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,39.63,39.63,usd,2025-01-01 14:55:21
cu,ccTLD,,,,,no,"CENIAInternet
Industria y San Jose
Capitolio Nacional",regery,Regery,https://regery.com/,749.99,769.99,769.99,usd,2024-09-11 10:54:05
cv,ccTLD,,,,,no,Agência Reguladora Multissectorial da Economia (ARME),namesilo,NameSilo,https://www.namesilo.com/,3.49,9.99,9.49,usd,2025-01-01 14:49:01
cw,ccTLD,,,,,no,University of Curacao,inwx,INWX,https://www.inwx.com/,83.99,83.95,0,eur,2025-01-01 14:52:34
cx,ccTLD,,,,,no,Christmas Island Domain Administration Limited,363hk,西部数码国际,https://www.363.hk/,68,68.0,2,cny,2025-01-01 14:46:57
cy,ccTLD,,,,,no,University of Cyprus,netim,netim,https://www.netim.com/,38,38.0,0,eur,2025-01-01 14:48:56
cymru,gTLD,,,,,no,Nominet UK,spaceship,Spaceship,https://www.spaceship.com/,10,10.0,10,usd,2024-10-24 10:36:51
cyou,gTLD,,,,,no,Shortdot SA,zzy,中资源,https://www.zzy.cn/,11,36.0,103,cny,2025-01-01 14:47:26
cz,ccTLD,,,,,no,"CZ.NIC, z.s.p.o",regtons,regtons,https://regtons.com/,7.86,7.86,0,usd,2025-01-01 15:00:16
dad,gTLD,,,,,no,Charleston Road Registry Inc.,cloudflare,Cloudflare,https://www.cloudflare.com/,10.18,10.18,10.18,usd,2024-11-30 21:56:07
dance,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,9.76,19.03,19.03,usd,2025-01-01 14:55:21
date,gTLD,,,,,no,dot Date Limited,domaincom,Domain.com,https://www.domain.com/,2.99,4.99,n/a,usd,2024-11-01 19:05:30
dating,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,15.94,43.75,43.75,usd,2025-01-01 14:55:21
day,gTLD,,,,,no,Charleston Road Registry Inc.,cloudflare,Cloudflare,https://www.cloudflare.com/,10.18,10.18,10.18,usd,2024-11-30 21:56:07
de,ccTLD,,,,,no,DENIC eG,porkbun,porkbun,https://porkbun.com/,2.9,4.07,4.07,usd,2025-01-01 14:55:21
deal,gTLD,,,,,no,"Amazon Registry Services, Inc.",porkbun,porkbun,https://porkbun.com/,32.42,32.42,32.42,usd,2025-01-01 14:55:21
dealer,gTLD,,,,,no,Intercap Registry Inc.,cloudflare,Cloudflare,https://www.cloudflare.com/,2000.18,2000.18,2000.18,usd,2024-11-30 21:56:07
deals,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,26.24,26.24,usd,2025-01-01 14:55:21
degree,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,8.22,33.45,33.45,usd,2025-01-01 14:55:21
delivery,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.13,39.63,39.63,usd,2025-01-01 14:55:21
democrat,gTLD,,,,,no,"Dog Beach, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,23.18,23.18,23.18,usd,2024-11-30 21:56:07
dental,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,46.84,46.84,46.84,usd,2025-01-01 14:55:21
dentist,gTLD,,,,,no,"Dog Beach, LLC",domaincom,Domain.com,https://www.domain.com/,39.99,39.99,n/a,usd,2024-11-01 19:05:30
desi,gTLD,,,hindi for the peoples and cultures of south asia see also desi,,no,Desi Networks LLC,porkbun,porkbun,https://porkbun.com/,12.87,12.87,12.87,usd,2025-01-01 14:55:21
design,gTLD,,,,,no,"Registry Services, LLC",aliyun,阿里云,https://wanwang.aliyun.com/,80,145.0,142,cny,2025-01-01 14:47:23
dev,gTLD,,,,,no,Charleston Road Registry Inc.,truehost,Truehost,https://truehost.com/,11.62,11.62,11.72,usd,2024-10-24 10:35:36
diamonds,gTLD,,,,,no,"Binky Moon, LLC",sav,Sav,https://www.sav.com/,38.17,38.17,38.17,usd,2025-01-01 14:47:32
diet,gTLD,,,,,no,XYZ.COM LLC,sav,Sav,https://www.sav.com/,103.88,15.62,15.62,usd,2025-01-01 14:47:32
digital,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,2.04,28.3,28.3,usd,2025-01-01 14:55:21
direct,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,26.24,26.24,usd,2025-01-01 14:55:21
directory,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,18.0,18,usd,2025-01-01 14:55:21
discount,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,22.64,22.64,usd,2025-01-01 14:55:21
diy,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc.",spaceship,Spaceship,https://www.spaceship.com/,8.8,31.05,31.05,usd,2024-10-24 10:36:51
dj,ccTLD,,,,,no,Djibouti Telecom S.A,quyu,趣域网,https://www.quyu.net/,338,338.0,n/a,cny,2025-01-01 14:47:38
dk,ccTLD,,,,,no,Dansk Internet Forum,regery,Regery,https://regery.com/,9.69,9.99,1.99,usd,2024-09-11 10:54:05
dm,ccTLD,,,,,no,DotDM Corporation,inwx,INWX,https://www.inwx.com/,120,120.0,120,eur,2025-01-01 14:52:34
do,ccTLD,,,,,no,"Pontificia Universidad Catolica Madre y Maestra
Recinto Santo Tomas de Aquino",domgate,domgate,https://domgate.com/,48,48.0,48,eur,2025-01-01 15:01:39
doctor,gTLD,,,,,no,"Binky Moon, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,79.95,79.95,79.95,usd,2025-01-01 14:48:20
dog,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,42.72,42.72,usd,2025-01-01 14:55:21
domains,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,29.33,29.33,usd,2025-01-01 14:55:21
download,gTLD,,,,,no,dot Support Limited,domaincom,Domain.com,https://www.domain.com/,2.99,4.99,n/a,usd,2024-11-01 19:05:30
durban,gTLD,,,,,no,ZA Central Registry NPC trading as ZA Central Registry,innovahost,InnovaHost,https://innovahost.net/,3.9,3.9,7.15,eur,2024-11-15 16:13:17
dz,ccTLD,,,,,no,CERIST,regery,Regery,https://regery.com/,34.99,36.99,n/a,usd,2024-09-11 10:54:05
earth,gTLD,,,,,no,Interlink Systems Innovation Institute K.K.,sav,Sav,https://www.sav.com/,15.88,15.88,15.88,usd,2025-01-01 14:47:32
ec,ccTLD,,,,,no,ECUADORDOMAIN S.A.,quyu,趣域网,https://www.quyu.net/,245,255.0,255,cny,2025-01-01 14:47:38
eco,gTLD,,,,,no,Big Room Inc.,regery,Regery,https://regery.com/,57.99,58.69,54.99,usd,2024-09-11 10:54:05
education,gTLD,,,,,no,"Binky Moon, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,19.95,19.95,19.95,usd,2025-01-01 14:48:20
ee,ccTLD,,,,,no,Eesti Interneti Sihtasutus (EIS),zone,Zone,https://www.zone.ee/,8.37,8.37,0,eur,2025-01-01 14:59:39
eg,ccTLD,,,,,no,"Egyptian Universities Network (EUN)
Supreme Council of Universities",domgate,domgate,https://domgate.com/,245,245.0,245,eur,2025-01-01 15:01:39
email,gTLD,,,,,no,"Binky Moon, LLC",363hk,西部数码国际,https://www.363.hk/,48,67.0,63,cny,2025-01-01 14:46:57
energy,gTLD,,,,,no,"Binky Moon, LLC",onecom,one.com,https://www.one.com/,10.99,14.99,10.99,usd,2025-01-01 14:57:49
engineer,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,5.13,26.24,26.24,usd,2025-01-01 14:55:21
engineering,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,12.85,43.75,43.75,usd,2025-01-01 14:55:21
enterprises,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,26.24,26.24,usd,2025-01-01 14:55:21
equipment,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,16.97,16.97,usd,2025-01-01 14:55:21
es,ccTLD,,,,,no,Red.es,regery,Regery,https://regery.com/,5.49,5.99,1.99,usd,2024-09-11 10:54:05
esq,gTLD,,,,,no,Charleston Road Registry Inc.,wordpress,WordPress.com,https://wordpress.com/,12,12.0,12,usd,2025-01-01 15:01:15
estate,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,26.24,26.24,usd,2025-01-01 14:55:21
et,ccTLD,,,,,no,Ethio telecom,afriregister,Afriregister,https://www.afriregister.com/,100.7,100.7,0,eur,2025-01-01 15:01:05
eu,ccTLD,,,,,no,EURid vzw/asbl,spaceship,Spaceship,https://www.spaceship.com/,2.3,4.98,4.98,usd,2024-10-24 10:36:51
eus,gTLD,,,,,no,Puntueus Fundazioa,regery,Regery,https://regery.com/,11.99,22.99,22.99,usd,2024-09-11 10:54:05
events,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,11.82,26.24,26.24,usd,2025-01-01 14:55:21
exchange,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,26.24,26.24,usd,2025-01-01 14:55:21
expert,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,42.18,42.18,42.18,usd,2024-11-30 21:56:07
exposed,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,14.91,14.91,14.91,usd,2025-01-01 14:55:21
express,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,26.24,26.24,usd,2025-01-01 14:55:21
fail,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,25.18,25.18,25.18,usd,2024-11-30 21:56:07
faith,gTLD,,,,,no,dot Faith Limited,domaincom,Domain.com,https://www.domain.com/,6.99,8.99,n/a,usd,2024-11-01 19:05:30
family,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,10.79,24.18,24.18,usd,2025-01-01 14:55:21
fan,gTLD,,,,,no,"Dog Beach, LLC",tencent,腾讯云,https://cloud.tencent.com/,35,78.0,75,cny,2024-11-01 19:20:20
fans,gTLD,,,,,no,ZDNS International Limited,cloudflare,Cloudflare,https://www.cloudflare.com/,8.18,8.18,8.18,usd,2024-11-30 21:56:07
farm,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.28,26.24,26.24,usd,2025-01-01 14:55:21
fashion,gTLD,,,,,no,"Registry Services, LLC",onecom,one.com,https://www.one.com/,21.99,21.99,21.99,usd,2025-01-01 14:57:49
feedback,gTLD,,,,,no,"Top Level Spectrum, Inc.",gname,GNAME,https://www.gname.com/,19.99,19.99,19.99,usd,2025-01-01 14:47:42
fi,ccTLD,,,,,no,Finnish Transport and Communications Agency Traficom,regery,Regery,https://regery.com/,11.29,11.89,1.99,usd,2024-09-11 10:54:05
film,gTLD,,,,,no,Motion Picture Domain Registry Pty Ltd,regery,Regery,https://regery.com/,64.99,65.69,65.69,usd,2024-09-11 10:54:05
finance,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,42.72,42.72,usd,2025-01-01 14:55:21
financial,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,15.94,39.63,39.63,usd,2025-01-01 14:55:21
fish,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,29.33,29.33,usd,2025-01-01 14:55:21
fishing,gTLD,,,,,no,"Registry Services, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,22.18,22.18,22.18,usd,2024-11-30 21:56:07
fit,gTLD,,,,,no,"Registry Services, LLC",aliyun,阿里云,https://wanwang.aliyun.com/,15,98.0,96,cny,2025-01-01 14:47:23
fitness,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,26.24,26.24,usd,2025-01-01 14:55:21
fj,ccTLD,,,,,no,"The University of the South Pacific
IT Services",gandi,gandi.net,https://www.gandi.net/,300,560.0,300,eur,2025-01-01 15:04:05
flights,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,31.39,39.63,39.63,usd,2025-01-01 14:55:21
florist,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,24.18,24.18,usd,2025-01-01 14:55:21
flowers,gTLD,,,,,no,XYZ.COM LLC,sav,Sav,https://www.sav.com/,103.88,20.77,20.77,usd,2025-01-01 14:47:32
fm,ccTLD,,,,,no,FSM Telecommunications Corporation,regery,Regery,https://regery.com/,69.89,69.89,69.89,usd,2024-09-11 10:54:05
fo,ccTLD,,,,,no,FO Council,porkbun,porkbun,https://porkbun.com/,45.26,45.26,45.26,usd,2025-01-01 14:55:21
foo,gTLD,,,,,no,Charleston Road Registry Inc.,cloudflare,Cloudflare,https://www.cloudflare.com/,10.18,10.18,10.18,usd,2024-11-30 21:56:07
food,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc.",spaceship,Spaceship,https://www.spaceship.com/,8.8,31.05,31.05,usd,2024-10-24 10:36:51
football,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,18.0,18,usd,2025-01-01 14:55:21
forex,gTLD,,,,,no,"Dog Beach, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,30.18,30.18,30.18,usd,2024-11-30 21:56:07
forsale,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,10.79,24.18,24.18,usd,2025-01-01 14:55:21
forum,gTLD,,,,,no,"Fegistry, LLC",directnic,Directnic,https://directnic.com/,14.99,14.99,14.99,usd,2025-01-01 14:54:44
foundation,gTLD,,,,,no,Public Interest Registry (PIR),epik,Epik,https://www.epik.com/,14.95,14.95,14.95,usd,2024-12-03 18:51:31
fr,ccTLD,,,,,no,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),innovahost,InnovaHost,https://innovahost.net/,6.02,6.03,6.03,eur,2024-11-15 16:13:17
frl,gTLD,,,,,no,FRLregistry B.V.,sav,Sav,https://www.sav.com/,29.88,29.88,29.88,usd,2025-01-01 14:47:32
fun,gTLD,,,,,no,Radix FZC,tencent,腾讯云,https://cloud.tencent.com/,8,65.0,120,cny,2024-11-01 19:20:20
fund,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,65.0,65,cny,2024-11-01 19:20:20
furniture,gTLD,,,,,no,"Binky Moon, LLC",canspace,CanSpace,https://www.canspace.ca/,64.99,69.99,64.99,cad,2024-12-03 18:53:00
futbol,gTLD,,,soccer,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,9.76,9.76,9.76,usd,2025-01-01 14:55:21
fyi,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,5.18,5.18,5.18,usd,2024-11-30 21:56:07
ga,ccTLD,,,,,no,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),domgate,domgate,https://domgate.com/,20,20.0,20,eur,2025-01-01 15:01:39
gal,gTLD,,,,,no,Asociación puntoGAL,regery,Regery,https://regery.com/,46.69,44.99,44.99,usd,2024-09-11 10:54:05
gallery,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,18,18.0,18,usd,2025-01-01 14:55:21
game,gTLD,,,,,no,XYZ.COM LLC,cloudflare,Cloudflare,https://www.cloudflare.com/,300.18,300.18,300.18,usd,2024-11-30 21:56:07
games,gTLD,,,,,no,"Dog Beach, LLC",tencent,腾讯云,https://cloud.tencent.com/,50,78.0,75,cny,2024-11-01 19:20:20
garden,gTLD,,,,,no,"Registry Services, LLC",onecom,one.com,https://www.one.com/,21.99,21.99,21.99,usd,2025-01-01 14:57:49
gay,gTLD,,,,,no,"Top Level Design, LLC",spaceship,Spaceship,https://www.spaceship.com/,1.55,25.88,25.88,usd,2024-10-24 10:36:51
gd,ccTLD,,,,,no,The National Telecommunications Regulatory Commission (NTRC),quyu,趣域网,https://www.quyu.net/,189,189.0,189,cny,2025-01-01 14:47:38
gdn,gTLD,,,,,no,"Joint Stock Company ""Navigation-information systems""",regery,Regery,https://regery.com/,8.99,9.39,8.99,usd,2024-09-11 10:54:05
ge,ccTLD,,,,,no,Caucasus Online LLC,quyu,趣域网,https://www.quyu.net/,99,99.0,99,cny,2025-01-01 14:47:38
gent,gTLD,,,,,no,Combell nv,innovahost,InnovaHost,https://innovahost.net/,22.3,22.3,22.3,eur,2024-11-15 16:13:17
gf,ccTLD,,,,,no,CANAL+ TELECOM,domgate,domgate,https://domgate.com/,75,75.0,75,eur,2025-01-01 15:01:39
gg,ccTLD,,,,,no,Island Networks Ltd.,363hk,西部数码国际,https://www.363.hk/,298,298.0,480,cny,2025-01-01 14:46:57
gh,ccTLD,,,,,no,Network Computer Systems Limited,gandi,gandi.net,https://www.gandi.net/,165,370.0,190,eur,2025-01-01 15:04:05
gi,ccTLD,,,,,no,Sapphire Networks,inwx,INWX,https://www.inwx.com/,110,100.0,230,eur,2025-01-01 14:52:34
gift,gTLD,,,,,no,"Uniregistry, Corp.",porkbun,porkbun,https://porkbun.com/,14.64,14.64,14.46,usd,2025-01-01 14:55:21
gifts,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,24.18,24.18,usd,2025-01-01 14:55:21
gives,gTLD,,,,,no,Public Interest Registry (PIR),epik,Epik,https://www.epik.com/,14.95,14.95,14.95,usd,2024-12-03 18:51:31
giving,gTLD,,,,,no,Public Interest Registry (PIR),spaceship,Spaceship,https://www.spaceship.com/,6.21,22.19,22.19,usd,2024-10-24 10:36:51
gl,ccTLD,,,,,no,TELE Greenland A/S,sav,Sav,https://www.sav.com/,30.76,30.76,30.76,usd,2025-01-01 14:47:32
glass,gTLD,,,,,no,"Binky Moon, LLC",dotology,dotology,https://dotology.com/,29.99,29.99,29.99,usd,2025-01-01 14:59:45
global,gTLD,,,,,no,Dot Global Domain Registry Limited,363hk,西部数码国际,https://www.363.hk/,163,163.0,163,cny,2025-01-01 14:46:57
gm,ccTLD,,,,,no,GM-NIC,mrdomain,MrDomain,https://www.mrdomain.com/,163.95,24.95,114.95,eur,2025-01-01 14:56:21
gmbh,gTLD,,,company,,no,"Binky Moon, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,24.95,24.95,24.95,usd,2025-01-01 14:48:20
gn,ccTLD,,,,,no,Centre National des Sciences Halieutiques de Boussoura,gandi,gandi.net,https://www.gandi.net/,130,260.0,130,eur,2025-01-01 15:04:05
gold,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,65.0,65,cny,2024-11-01 19:20:20
golf,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,43.75,43.75,usd,2025-01-01 14:55:21
gop,gTLD,,,,,no,"Republican State Leadership Committee, Inc.",encirca,EnCirca,https://www.encirca.com/,20.18,20.18,20.16,usd,2025-01-01 15:03:34
gp,ccTLD,,,,,no,Networking Technologies Group,netim,netim,https://www.netim.com/,98,98.0,0,eur,2025-01-01 14:48:56
gq,ccTLD,,,,,no,GETESA,inwx,INWX,https://www.inwx.com/,8.32,8.32,8.32,eur,2025-01-01 14:52:34
gr,ccTLD,,,,,no,ICS-FORTH GR,mrdomain,MrDomain,https://www.mrdomain.com/,9.95,9.95,0,eur,2025-01-01 14:56:21
graphics,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,18,18.0,18,usd,2025-01-01 14:55:21
gratis,gTLD,,,free,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,14.91,14.91,14.91,usd,2025-01-01 14:55:21
green,gTLD,,,,,no,Afilias Limited,tencent,腾讯云,https://cloud.tencent.com/,25,385.0,385,cny,2024-11-01 19:20:20
gripe,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,22.64,22.64,22.64,usd,2025-01-01 14:55:21
group,gTLD,,,,,no,"Binky Moon, LLC",363hk,西部数码国际,https://www.363.hk/,48,67.0,64,cny,2025-01-01 14:46:57
gs,ccTLD,,,,,no,Government of South Georgia and South Sandwich Islands (GSGSSI),363hk,西部数码国际,https://www.363.hk/,68,68.0,2,cny,2025-01-01 14:46:57
gt,ccTLD,,,,,no,Universidad del Valle de Guatemala,regtons,regtons,https://regtons.com/,70,70.0,0,usd,2025-01-01 15:00:16
gu,ccTLD,,,,,no,University of Guam,inwx,INWX,https://www.inwx.com/,247,247.0,247,eur,2025-01-01 14:52:34
guide,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,11.82,26.24,26.24,usd,2025-01-01 14:55:21
guitars,gTLD,,,,,no,XYZ.COM LLC,cloudflare,Cloudflare,https://www.cloudflare.com/,100.18,100.18,100.18,usd,2024-11-30 21:56:07
guru,gTLD,,,,,no,"Binky Moon, LLC",huawei,华为云,https://www.huaweicloud.com/,48,188.0,188,cny,2025-01-01 14:53:00
gw,ccTLD,,,,,no,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,netim,netim,https://www.netim.com/,36,36.0,0,eur,2025-01-01 14:48:56
gy,ccTLD,,,,,no,University of Guyana,quyu,趣域网,https://www.quyu.net/,218,218.0,218,cny,2025-01-01 14:47:38
hair,gTLD,,,,,no,XYZ.COM LLC,cosmotown,Cosmotown,https://www.cosmotown.com/,10.95,11.17,11.17,usd,2024-11-15 16:07:41
hamburg,gTLD,,,,,no,Hamburg Top-Level-Domain GmbH,sav,Sav,https://www.sav.com/,43.03,43.03,n/a,usd,2025-01-01 14:47:32
haus,gTLD,,,house,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,10.79,22.64,22.64,usd,2025-01-01 14:55:21
health,gTLD,,,,,no,"DotHealth, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,50.18,50.18,50.18,usd,2024-11-30 21:56:07
